,community_id,community_area_name,Per_Below_Poverty_Level,Per_Crowded_Housing,Per_Dependency,Per_No_High_School_Diploma,PerCapita_Income,2020_HH_SIZE,TOT_POP,MED_AGE,per_white,per_hisp,per_black,per_asian,per_other,MEDINC,Per_Unemployment,pop_dens_sqmi,stop_dens_sqmi
68,69.0,Greater Grand Crossing,25.6,4.2,42.9,17.9,17213.0,2.427328316,100.0,36.12857143,0.873288253083693,2.004825172448945,95.58938462061232,0.09854225423901594,1.4339596996160249,30109.64912,18.9,8865.07,70.14084507
69,70.0,Ashburn,9.5,4.2,36.7,18.3,22078.0,3.140367186,100.0,36.46160558,10.069460631206004,42.72761176635122,45.042189175329824,0.829798144608643,1.3309402825043122,71951.49017,8.8,8456.38,26.95473251
70,71.0,Auburn Gresham,24.5,4.1,42.1,19.5,16022.0,2.476619999,100.0,38.58927382,1.045012634374063,2.991562807829029,94.5479463788599,0.26553599725898325,1.1499421816780162,37484.19389,24.2,11903.98,46.15384615
71,72.0,Beverly,5.2,0.7,38.7,5.1,40107.0,2.597581589,100.0,44.04398955,56.14371499217843,5.949437351768683,33.11298380178634,0.978957460766009,3.81490639350053,110018.1598,7.8,6297.8,21.3836478
72,73.0,Washington Heights,15.7,1.1,42.4,15.6,19709.0,2.610715035,100.0,42.20468432,1.674090571640683,1.4587973273942094,95.47884187082406,0.1744617668893838,1.2138084632516704,53580.48162,18.3,8763.99,40.20979021
73,74.0,Mount Greenwood,3.1,1.1,37.0,4.5,34221.0,2.668613139,100.0,37.9686243,81.1411889596603,10.483014861995754,3.232484076433121,1.60828025477707,3.535031847133758,97760.69519,6.9,6873.8,30.25830258
74,75.0,Morgan Park,13.7,0.8,39.4,10.9,26185.0,2.524281346,100.0,43.63474981,30.402982200253238,4.436954988312068,61.40191984026493,0.41881757085808896,3.3408006233563845,64137.0976,14.9,6420.0,26.66666667
75,76.0,O'Hare,9.5,1.9,26.5,11.0,29402.0,2.177167912,100.0,36.70826483,67.45415229663655,8.263808734627352,6.608386427618907,15.5517243295303,2.1241519558453104,60440.97616,4.7,1005.85,2.3988006
76,77.0,Edgewater,16.6,3.9,23.4,9.0,33364.0,1.748342414,100.0,37.07107611,53.519159013851734,15.884347366806944,13.257117543829757,13.730768575468966,3.6086075000425946,58283.37875,9.0,32354.02,71.83908046
77,,,20.58,,,,,,,,,,,,,,13.46,,
