community_id,community_area_name,Per_Below_Poverty_Level,Per_Crowded_Housing,Per_Dependency,Per_No_High_School_Diploma,PerCapita_Income,Per_Unemployment,bus_count,train_count,total_stops,area_square_mile,stop_dens_kmsq,stop_dens_sqmi,area_square_mile,area_kmsq,pop_dens_sqmi,pop_dens_kmsq,2020_POP,2020_HH_SIZE,TOT_POP,MED_AGE,WHITE,HISP,BLACK,ASIAN,OTHER,MEDINC,INCPERCAP
53,West Pullman,24.3,3.3,42.2,22.6,16228,17,104,0,104,3.56,11.27982646,29.21348315,3.56,9.22,7332.58,2831.11,26104,2.703316062,26484,35.88581024,233,1815,23890,0,546,46380.45541,22615.252
54,Riverdale,61.4,5.1,50.2,24.6,8535,26.4,23,0,23,3.53,2.516411379,6.515580737,3.53,9.14,2057.22,794.29,7262,2.872770511,7414,25.86317136,72,271,7071,0,0,19676.96629,14175.67494
55,Hegewisch,12.1,4.4,41.6,17.9,22561,9.6,47,0,47,5.24,3.463522476,8.969465649,5.24,13.57,1913.55,738.82,10027,2.726679358,9250.205343,39.64860189,3398.034109,5202.552663,631.5985612,1.020010237,17,57846.64934,27694.54333
56,Garfield Ridge,9,2.6,39.5,19.4,24684,8.1,137,1,138,4.23,12.59124088,32.62411348,4.23,10.96,8378.01,3234.75,35439,2.872589081,36049,39.74945335,14728,19029,1671,358,263,80005.68828,32787.64454
57,Archer Heights,13,8.5,40.5,36.4,16145,14.2,66,1,67,2.01,12.85988484,33.33333333,2.01,5.21,7062.69,2726.9,14196,3.403314917,13533,33.37723214,1991,10800,104,612,26,48793.10345,21399.10522
58,Brighton Park,23,13.2,39.8,48.2,13138,11.2,145,1,146,2.72,20.73863636,53.67647059,2.72,7.04,16563.6,6395.21,45053,3.313566804,42728,31.175095,3163,34130,579,4517,339,45781.71091,18312.79428
59,McKinley Park,16.1,6.9,33.7,31.8,17577,11.9,81,1,82,1.41,22.46575342,58.15602837,1.41,3.65,11292.91,4360.19,15923,2.869266883,15246,38.90544707,2350,8044,184,4572,96,61814.25486,26933.93789
60,Bridgeport,17.3,4.8,32.3,25.6,24969,11.2,114,1,115,2.09,21.25693161,55.02392344,2.09,5.41,16125.36,6226,33702,2.523802384,32863.15574,37.4904653,11630.87705,6857.92623,735.4590164,13303.89344,335,58670.10682,31668.72483
61,New City,30.6,12.2,42,42.4,12524,17.4,209,0,209,4.83,16.70663469,43.27122153,4.83,12.51,9032.71,3487.53,43628,3.136176066,38971.68675,33.10160771,4815.819277,24095.39759,9006.86747,725.6024096,328,35396.3424,18005.11013
62,West Elsdon,9.8,8.7,38.7,39.6,16938,13.5,45,0,45,1.17,14.85148515,38.46153846,1.17,3.03,15721.37,6070.02,18394,3.495435527,18523,32.26247601,2724,15134,125,513,27,54185.77982,23006.96534
63,Gage Park,20.8,17.4,40.4,54.1,12014,14,108,1,109,2.2,19.12280702,49.54545455,2.2,5.7,17972.73,6939.27,39540,3.816091954,35300,29.28865696,1260,32113,1649,250,28,42271.4808,16154.70878
64,Clearing,5.9,3.4,36.4,18.5,23920,9.6,121,0,121,2.55,18.33333333,47.45098039,2.55,6.6,9597.25,3705.5,24473,2.754502476,24382,36.08970976,9510,13878,621,145,228,58168.13049,27582.04475
65,West Lawn,15.3,6.8,41.9,33.4,15898,7.8,79,0,79,2.95,10.34031414,26.77966102,2.95,7.64,11410.85,4405.73,33662,3.635114669,32162,32.08806051,3819,27364,801,73,105,54757.83476,21706.25244
66,Chicago Lawn,22.2,6.5,40,31.6,14405,11.9,139,0,139,3.53,15.20787746,39.37677054,3.53,9.14,15844.48,6117.55,55931,3.280558653,51243,32.6517204,1247,28387,20369,246,994,36277.83964,17620.09125
